ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price
0,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07
1,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,120
2,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2,3,62
3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95
4,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2,1,51
5,Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38
6,Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,,204
7,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,,600
8,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3,1,63.25
9,Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6,,370
10,Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2,2,70
11,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,295
12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,38
13,Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2,2,40
14,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,148
15,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5
16,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48
17,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60
18,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290
19,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2,2,48
20,Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1,1,15
21,Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3,1,122
22,Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5,2,380
23,Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3,1,103
24,Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,0,25.25
25,Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3,2,56
26,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,23.1
27,Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3,2,81
28,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,48.77
29,Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2,1,47
30,Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4,0,186
31,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,35
32,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,2,123
33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39
34,Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,,125
35,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,36
36,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2,1,45.5
37,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,125
38,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2,2,56.12
39,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2,2,45
40,Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2,,81
41,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3,2,38
42,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1,0,38
43,Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1,0,48
44,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2,2,91.79
45,Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9,,200
46,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2,0,33
47,Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2,1,94.82
48,Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1,1,130
49,Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2,1,36
50,Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2,1,50
51,Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3,1,99
52,Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3,2,91
53,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2,2,75
54,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2,3,75
55,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,44
56,Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,192
57,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2,2,185
58,Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4,1,150
59,Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2,2,45
60,Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3,2,240
61,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2,1,55
62,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5,3,650
63,Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2,2,44
64,Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8,0,140
65,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2,1,62
66,Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2,3,43
67,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2,1,57
68,Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,1350,7,0,85
69,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2,1,36.68
70,Plot  Area,Ready To Move,Double Road,3 Bedroom,,500,3,2,100
71,Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2,1,80.58
72,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3,1,101
73,Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2,1,70
74,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3,2,140
75,Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,2,1,48.23
